MODEL,SHAPE,LENGTH,R LENGTH,WIDTH,TAPER,max Radius,min Radius,SETBACK
RAVINE SELECT,-0.8626621856275074,-0.18423987433960504,0.25020028836680214,0.1793205767678815,0.2340268686128882,-0.7151444198699118,-0.23204876922238132,-0.10636561124613395
RAVINE,-0.8626621856275074,-0.18423987433960504,0.25020028836680214,0.1793205767678815,0.2340268686128882,-0.7151444198699118,-0.23204876922238132,-0.10636561124613395
STALE FISH,-0.8626621856275074,-0.5527196230188152,0.044747967112704824,0.41686474554156727,1.0958461564793471,-2.475570261621285,0.10164968209298554,-0.10636561124613395
SERVICE DOG,-0.8626621856275074,0.5527196230188152,0.006366764241061905,0.47246018929711203,1.5590872743116255,-0.18930293467144985,-0.6684236670963238,0.1360907626908023
UPRISE SPLIT,-0.8626621856275074,-0.9211993716980252,0.12828352630393203,0.02769663925276254,-0.4868059920872249,0.30224454062276435,0.9102266987417595,0.1360907626908023
RENEGADE,0.2156655464068768,0.18423987433960504,0.5798270894997493,0.15404992051536165,-0.5610093748063543,0.15363716437102418,0.743377473084075,-0.8337347330569427
STALE CREWZER,0.2156655464068768,0.18423987433960504,0.5233841441002721,0.12877926426284184,-0.5610093748063543,0.03932379802353283,0.6150319148858574,-0.8337347330569427
FREAKER,0.2156655464068768,-0.18423987433960504,0.4669411987007949,0.12877926426284184,-0.47620550884163504,-0.3264789742884401,0.20432612865156013,-0.8337347330569427
WARDEN,0.2156655464068768,-0.18423987433960504,0.12828352630393203,0.12877926426284184,-0.47620550884163504,-0.3264789742884401,0.20432612865156013,-0.8337347330569427
AGENT PRO,1.2939932784412609,-0.5527196230188152,0.25923115963071797,0.10098154238507018,-0.5610093748063543,-0.09785224159345637,0.4610172450479966,-0.8337347330569427
PARTY MOD,1.2939932784412609,0.18423987433960504,0.5798270894997493,0.12877926426284184,-0.5610093748063543,-0.0749895683239585,0.4866863566876397,-0.8337347330569427
ARTIFACT PRO,1.2939932784412609,0.18423987433960504,0.5798270894997493,0.1919559048941414,-0.5610093748063543,-0.18930293467144985,0.358340798489422,-0.8337347330569427
GANG PLANK,1.2939932784412609,0.18423987433960504,0.4669411987007949,0.12877926426284184,-0.5610093748063543,-0.017832885150211825,0.5508591357867496,-0.8337347330569427
AGENT,1.2939932784412609,-0.5527196230188152,0.25923115963071797,0.10098154238507018,-0.5610093748063543,-0.09785224159345637,0.4610172450479966,-0.8337347330569427
ARTIFACT,1.2939932784412609,0.18423987433960504,0.5798270894997493,0.1919559048941414,-0.5610093748063543,-0.18930293467144985,0.358340798489422,-0.8337347330569427
MECHANIC,1.2939932784412609,0.18423987433960504,0.35405530790184064,0.10350860801032201,-0.5610093748063543,-0.680850409965665,-0.1935451017629167,-0.8337347330569427
CHEAP TRICK,1.2939932784412609,0.18423987433960504,0.35405530790184064,0.10350860801032201,-0.5610093748063543,-0.680850409965665,-0.1935451017629167,-0.8337347330569427
CHEAP TRICK,1.2939932784412609,0.18423987433960504,0.35405530790184064,0.10350860801032201,-0.5610093748063543,-0.680850409965665,-0.1935451017629167,-0.8337347330569427
FREECARVER 9000s,-0.8626621856275074,0.18423987433960504,1.5958001066903378,0.533109764303159,0.3930341172967367,1.2967708278459416,2.0268330550662563,1.1059162584385474
FREE CARVER 6000s,-0.8626621856275074,-0.5527196230188152,1.3700283250924292,0.35621517053552026,0.3930341172967367,-1.7896900635363346,-1.438497016285632,1.1059162584385474
MIND EXPANDER TWIN,0.2156655464068768,-0.5527196230188152,-3.59695087006156,0.2804032017779608,-0.5610093748063543,-1.3324365981463673,-0.9251147834927592,-0.8337347330569427
STORM WOLF,-0.8626621856275074,-0.5527196230188152,-1.0005753816856109,0.3056738580304806,0.3400317010687872,0.3822638970660089,1.0000685894805126,0.863459884501611
STORM CHASER,-0.8626621856275074,-3.132077863773286,-1.452118944881428,0.6594630455657582,1.5590872743116255,-1.4467499644938597,-1.053460341690978,0.23307331226557682
HOVER CRAFT2.0,0.2156655464068768,0.18423987433960504,-1.0570183270850881,0.35621517053552026,1.2410727769439285,1.0681440951509589,1.770141938669821,-0.8337347330569427
STRATOS,-0.8626621856275074,0.18423987433960504,-0.09748825529397656,0.12877926426284184,0.4990389497526357,-0.9894964991038923,-0.540078108898105,0.1360907626908023
AVIATOR,-0.8626621856275074,-0.5527196230188152,-0.503877462170212,0.0024259830002427134,-0.5610093748063543,-0.6465564000614172,-0.15504143430345094,0.1360907626908023
MIND EXPANDER,0.2156655464068768,-0.5527196230188152,-1.790776617278291,0.1793205767678815,1.5590872743116255,-1.3324365981463673,-0.9251147834927592,-0.8337347330569427
TWEAKER,1.2939932784412609,0.18423987433960504,0.4669411987007949,0.12877926426284184,-0.5610093748063543,-0.41792966736643355,0.10164968209298554,-0.8337347330569427
CANNON,-0.8626621856275074,6.448395601886177,0.4669411987007949,0.15404992051536165,0.2870292848408377,-0.41792966736643355,-0.9251147834927592,0.3785471366277386
SLASH,-0.8626621856275074,0.18423987433960504,-0.32326003689188515,0.4067564830405599,1.1350679444880296,-0.41792966736643355,-2.465261481871377,0.3785471366277386
BANKER,-0.8626621856275074,0.18423987433960504,0.24116941710288634,0.10350860801032201,-0.13699004498275827,-0.0749895683239585,-1.6951881326820686,-0.10636561124613395
BASHER,1.2939932784412609,0.9211993716980252,0.5798270894997493,0.2804032017779608,-0.5610093748063543,1.411084194193435,-2.0802248072767227,-0.8337347330569427
DIGHY,-0.8626621856275074,-0.18423987433960504,0.35405530790184064,0.4572977955455996,0.07501961992903972,-0.5322430337139259,-1.6951881326820686,-0.10636561124613395
POW,-0.8626621856275074,-0.5527196230188152,-0.3797029822913623,0.533109764303159,4.951241912900394,0.26795053071851754,-0.15504143430345094,0.1360907626908023
FIN TWIN,-0.8626621856275074,-2.3951183664148656,-0.3797029822913623,0.22986188927292114,3.573179090973707,-0.5322430337139259,-1.6951881326820686,0.1360907626908023
HIGHLANDER,-0.8626621856275074,0.18423987433960504,-0.09748825529397656,0.15404992051536165,-0.45500454235045523,-0.0749895683239585,-1.56684257448385,-0.10636561124613395
ALTERNATOR,-0.8626621856275074,0.5527196230188152,0.12828352630393203,0.12877926426284184,-0.030985212526859277,3.125784689405811,-1.053460341690978,-0.10636561124613395
SANTOKU,1.2939932784412609,0.18423987433960504,-1.0570183270850881,0.02769663925276254,-0.5610093748063543,-0.6465564000614172,-2.7219525982678134,-0.8337347330569427
SQUASH,-0.8626621856275074,0.18423987433960504,0.24116941710288634,0.10350860801032201,0.07501961992903972,0.15363716437102418,-1.8235336908802864,0.3785471366277386
TEAM PRO,-0.8626621856275074,-0.18423987433960504,0.6927129802987035,0.02769663925276254,-0.5610093748063543,3.3544114221007937,-0.540078108898105,-0.10636561124613395
TEAM,-0.8626621856275074,-0.18423987433960504,0.6927129802987035,0.02769663925276254,-0.5610093748063543,3.3544114221007937,-0.540078108898105,-0.10636561124613395
CINEMA,-0.8626621856275074,-0.18423987433960504,0.35405530790184064,0.12877926426284184,-0.5610093748063543,-0.5322430337139259,-0.02669587610523327,-0.10636561124613395
BEAST,1.2939932784412609,-0.18423987433960504,0.5798270894997493,-0.04811532950479694,-0.5610093748063543,-0.0749895683239585,0.4866863566876397,-0.8337347330569427
T1,1.2939932784412609,-0.18423987433960504,-0.43614592769083943,0.02769663925276254,-0.5610093748063543,0.15363716437102418,0.743377473084075,-0.8337347330569427
OPTISIM,1.2939932784412609,0.18423987433960504,-0.09748825529397656,0.15404992051536165,-0.5610093748063543,1.0681440951509589,-2.5936070400695956,-0.8337347330569427
ALPHA,-0.8626621856275074,0.9211993716980252,-0.5490318184897938,0.22986188927292114,-0.13699004498275827,-0.3036163010189422,0.22999524029120322,0.1360907626908023
BETA,-0.8626621856275074,0.5527196230188152,-0.7748036000877023,0.1793205767678815,0.2870292848408377,-0.5322430337139259,-0.02669587610523327,1.1059162584385474
GAMMA,1.2939932784412609,0.5527196230188152,-1.2263471632835194,0.07823795175780218,-0.5610093748063543,-0.9894964991038923,-0.9251147834927592,-0.8337347330569427
SENSOR,1.2939932784412609,0.18423987433960504,-0.43614592769083943,0.12877926426284184,-0.5610093748063543,-0.6465564000614172,-0.15504143430345094,-0.8337347330569427
MERC,0.2156655464068768,0.18423987433960504,-1.452118944881428,0.12877926426284184,-0.5610093748063543,-0.5322430337139259,-0.02669587610523327,-0.3488219851830702
SCORE,0.2156655464068768,0.18423987433960504,-1.452118944881428,0.2804032017779608,-0.5610093748063543,-0.5322430337139259,-0.02669587610523327,-0.3488219851830702
KING,-0.8626621856275074,-0.3684797486792101,0.5798270894997493,-0.1239272982623564,-0.5610093748063543,0.6337533030304894,1.282428817516591,0.1360907626908023
RRR,-0.8626621856275074,-0.5527196230188152,0.7491559256981807,0.02769663925276254,0.2870292848408377,0.4965772634135002,1.0000685894805126,2.0757417541862924
RR,-0.8626621856275074,0.18423987433960504,1.1442565434945207,-0.022844673252277112,0.07501961992903972,0.8395173624559763,1.1540832593183734,0.6210035105646748
CIRCUS,1.2939932784412609,-0.9211993716980252,-1.0005753816856109,-0.022844673252277112,-0.5610093748063543,0.15363716437102418,0.743377473084075,-0.8337347330569427
BURNER,-0.8626621856275074,0.18423987433960504,-5.064467450447966,0.3309445142830004,1.5590872743116255,-0.3036163010189422,0.22999524029120322,2.0757417541862924
Q,-0.8626621856275074,0.9211993716980252,-2.840615401708566,0.12877926426284184,4.845237080444495,3.3544114221007937,1.1284141476787304,1.784794105461969
Q2,0.2156655464068768,0.18423987433960504,0.12828352630393203,0.12877926426284184,-0.34899970989455625,0.7252039961084829,1.3851052640751655,-0.8337347330569427
DF,1.2939932784412609,-0.18423987433960504,0.6475586239791218,0.08076501738305403,-0.5610093748063543,0.03932379802353283,0.6150319148858574,-0.8337347330569427
TEAM,-0.8626621856275074,0.18423987433960504,0.5798270894997493,0.07823795175780218,-0.5610093748063543,-0.5322430337139259,-0.02669587610523327,0.1360907626908023
SQUAD,-0.8626621856275074,0.18423987433960504,0.5798270894997493,0.07823795175780218,-0.5610093748063543,-0.5322430337139259,-0.02669587610523327,0.1360907626908023
LEGUE,-0.8626621856275074,0.18423987433960504,-1.5650048356803825,0.07823795175780218,-0.5610093748063543,-0.5322430337139259,-0.02669587610523327,0.1360907626908023
BATTLE RUSTY,-0.8626621856275074,-0.18423987433960504,0.24116941710288634,0.3056738580304806,-0.4444040591048653,-0.4750863505401792,0.0374769029938767,0.1360907626908023
COCKTAIL,-0.8626621856275074,0.5527196230188152,0.4669411987007949,0.30061972677997695,1.7816974224690134,0.4965772634135002,1.1284141476787304,1.3483726323754837
KJ,1.2939932784412609,-1.2896791203772353,0.4669411987007949,-0.04811532950479694,-0.5610093748063543,0.3822638970660089,0.4866863566876397,-0.8337347330569427
BACKCITY,-0.8626621856275074,-0.5527196230188152,-1.9036625080772454,0.12877926426284184,0.9230582795762315,-0.0749895683239585,-0.7967692252945415,1.1059162584385474
KAILA,1.2939932784412609,-0.5527196230188152,0.6927129802987035,-0.022844673252277112,-0.5610093748063543,3.3544114221007937,-0.540078108898105,-0.8337347330569427
ARTISTE,1.2939932784412609,-0.5527196230188152,0.6927129802987035,0.0024259830002427134,-0.5610093748063543,1.0681440951509589,1.0000685894805126,-0.8337347330569427
OFF RAMP,1.2939932784412609,-0.5527196230188152,0.35405530790184064,0.10350860801032201,-0.5610093748063543,0.15363716437102418,0.743377473084075,-0.8337347330569427
BOX SCRATCHER,1.2939932784412609,-0.5527196230188152,0.5798270894997493,0.10350860801032201,-0.5610093748063543,0.15363716437102418,0.743377473084075,-0.8337347330569427
SKATE BANANA,1.2939932784412609,0.18423987433960504,0.8055988710976578,0.15404992051536165,-0.5610093748063543,0.26795053071851754,0.871723031282295,-0.8337347330569427
TRS,-0.8626621856275074,0.5527196230188152,0.8055988710976578,0.10350860801032201,-0.5610093748063543,0.26795053071851754,0.871723031282295,-0.21789554325712462
TRICE PRO,1.2939932784412609,-0.18423987433960504,1.0313706526955664,0.15404992051536165,-0.5610093748063543,0.03932379802353283,0.6150319148858574,-0.8337347330569427
COLD BREW,-0.8626621856275074,0.5527196230188152,0.5798270894997493,0.2045912330204013,-0.13699004498275827,0.26795053071851754,0.871723031282295,1.0137828363425117
DYNAMO,-0.8626621856275074,0.18423987433960504,0.12828352630393203,0.15404992051536165,-0.24299487743865725,-0.0749895683239585,0.4866863566876397,0.3979436465426935
TERRAIN WRECKER,1.2939932784412609,-0.5527196230188152,0.8055988710976578,0.15404992051536165,-0.5610093748063543,0.15363716437102418,0.743377473084075,-0.8337347330569427
LIB LIG,-0.8626621856275074,0.18423987433960504,-0.7748036000877023,0.10350860801032201,-0.13699004498275827,-0.3036163010189422,0.22999524029120322,1.0137828363425117
JAMIE LYNN,-0.8626621856275074,0.18423987433960504,0.24116941710288634,0.25513254552544096,0.4990389497526357,0.7252039961084829,1.3851052640751655,1.0137828363425117
EJACK KNIFE,-0.8626621856275074,-0.5527196230188152,0.015397635504977735,0.05296729550528236,0.2870292848408377,-0.0749895683239585,0.4866863566876397,0.3979436465426935
RASMAN,-0.8626621856275074,0.5527196230188152,0.5798270894997493,0.22986188927292114,-0.24299487743865725,-0.0749895683239585,0.4866863566876397,0.09002405164278442
ORCA,-0.8626621856275074,-0.9211993716980252,0.015397635504977735,0.4572977955455996,0.6050437822085347,-1.218123231798876,-0.7967692252945415,2.245461215942148
SKUNK APE,-0.8626621856275074,0.5527196230188152,0.5798270894997493,0.48256845179811936,-0.34899970989455625,0.4965772634135002,1.1284141476787304,0.3979436465426935
G.ORCA,-0.8626621856275074,0.5527196230188152,0.35405530790184064,0.4067564830405599,0.3930341172967367,-0.0749895683239585,0.4866863566876397,0.3979436465426935
A.ORCA,-0.8626621856275074,-0.9211993716980252,0.015397635504977735,0.35621517053552026,0.3930341172967367,-0.0749895683239585,0.4866863566876397,0.3979436465426935
DOUBLE DIP,1.2939932784412609,1.2896791203772353,0.24116941710288634,0.48256845179811936,-0.5610093748063543,-0.0749895683239585,0.4866863566876397,-0.8337347330569427
STEERY -D,1.2939932784412609,4.237517109810916,0.9184847618966121,-5.615240901934914,-0.3914016428769158,-0.0749895683239585,-2.0802248072767227,5.324657164941239
CYGNUS BM,-0.8626621856275074,-0.5527196230188152,0.015397635504977735,0.2045912330204013,-0.5610093748063543,-1.218123231798876,-0.7967692252945415,0.3979436465426935
RETRO RIPPER,-0.8626621856275074,0.18423987433960504,-1.1134612724845652,0.12877926426284184,1.1350679444880296,-0.0749895683239585,-2.0802248072767227,-0.21789554325712462
JAMIE LYNN SW,-0.8626621856275074,-2.0266386177356557,-2.0165483988761994,-5.607659705059159,0.07501961992903972,-2.3612568952737933,-2.0802248072767227,2.861300405741966
MONEY,1.2939932784412609,0.18423987433960504,0.8055988710976578,0.15404992051536165,-0.5610093748063543,0.15363716437102418,0.743377473084075,-0.8337347330569427
HEAD SPACE,1.2939932784412609,-0.18423987433960504,0.5798270894997493,-5.658201017564198,-0.5610093748063543,0.15363716437102418,0.743377473084075,-0.8337347330569427
GWO,1.2939932784412609,0.18423987433960504,1.0313706526955664,0.12877926426284184,-0.5610093748063543,0.15363716437102418,0.743377473084075,-0.8337347330569427
FINEST,1.2939932784412609,-0.5527196230188152,0.35405530790184064,0.05296729550528236,-0.5610093748063543,0.03932379802353283,0.22999524029120322,-0.8337347330569427
RIDERS CHOICE,1.2939932784412609,-0.3684797486792101,0.6927129802987035,0.07823795175780218,-0.5610093748063543,0.03932379802353283,0.10164968209298554,-0.8337347330569427
ANTIGRAVITY,-0.8626621856275074,0.18423987433960504,0.12828352630393203,0.15404992051536165,-0.24299487743865725,-0.0749895683239585,0.4866863566876397,0.3979436465426935
ESSENTIAL,1.2939932784412609,-0.18423987433960504,0.4669411987007949,0.10350860801032201,-0.5610093748063543,0.15363716437102418,0.743377473084075,-0.21789554325712462
GREMLIN,-0.8626621856275074,-0.18423987433960504,-0.21037414609293087,0.3814858267880401,0.7110486146644337,-0.9894964991038923,-0.540078108898105,1.6296220261423298
HYPER,-0.8626621856275074,-0.5527196230188152,0.35405530790184064,0.02769663925276254,0.07501961992903972,0.03932379802353283,0.6150319148858574,1.0137828363425117
4by4,-0.8626621856275074,0.5527196230188152,1.0313706526955664,0.15404992051536165,-0.5610093748063543,0.3822638970660089,1.0000685894805126,0.3979436465426935
BANKED COUNTRY,-0.8626621856275074,-0.18423987433960504,0.24116941710288634,0.10350860801032201,-0.34899970989455625,0.15363716437102418,0.743377473084075,1.0137828363425117
